No,File,Conflict Type,Selected Version,Rejected Version,Reason
1,backtester.py,Same path different content,Generated normalized target or review_needed,C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2\backtester.py | C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2_bundle\stock_rtx4060_algo_v2\backtester.py | C:\Users\jichu\Downloads\주식\stock_rtx4060_recommendation_patch\backtester.py,Selected validated active package/config/doc path or normalized doc; rejected variants recorded in inventory.
2,ensemble_model.py,Same path different content,Generated normalized target or review_needed,C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2\ensemble_model.py | C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2_bundle\stock_rtx4060_algo_v2\ensemble_model.py | C:\Users\jichu\Downloads\주식\stock_rtx4060_recommendation_patch\ensemble_model.py,Selected validated active package/config/doc path or normalized doc; rejected variants recorded in inventory.
3,feature_engine.py,Same path different content,Generated normalized target or review_needed,C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2\feature_engine.py | C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2_bundle\stock_rtx4060_algo_v2\feature_engine.py | C:\Users\jichu\Downloads\주식\stock_rtx4060_recommendation_patch\feature_engine.py,Selected validated active package/config/doc path or normalized doc; rejected variants recorded in inventory.
4,hw_profile.py,Same path different content,Generated normalized target or review_needed,C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2\hw_profile.py | C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2_bundle\stock_rtx4060_algo_v2\hw_profile.py | C:\Users\jichu\Downloads\주식\stock_rtx4060_recommendation_patch\hw_profile.py,Selected validated active package/config/doc path or normalized doc; rejected variants recorded in inventory.
5,main.py,Same path different content,Generated normalized target or review_needed,C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2\main.py | C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2_bundle\stock_rtx4060_algo_v2\main.py | C:\Users\jichu\Downloads\주식\stock_rtx4060_recommendation_patch\main.py,Selected validated active package/config/doc path or normalized doc; rejected variants recorded in inventory.
6,recommendation_engine.py,Same path different content,Generated normalized target or review_needed,C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2\recommendation_engine.py | C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2_bundle\stock_rtx4060_algo_v2\recommendation_engine.py | C:\Users\jichu\Downloads\주식\stock_rtx4060_recommendation_patch\recommendation_engine.py,Selected validated active package/config/doc path or normalized doc; rejected variants recorded in inventory.
7,README.md,Same name different folder/content,Generated normalized target,C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2\README.md | C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2_bundle\stock_rtx4060_algo_v2\README.md | C:\Users\jichu\Downloads\주식\workspaces\stock_rtx4060_patched\README.md,Validated active package was preferred over raw patch/bundle/legacy variants.
8,backtester.py,Same name different folder/content,C:\Users\jichu\Downloads\주식\workspaces\stock_rtx4060\backtester.py,C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2\backtester.py | C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2_bundle\stock_rtx4060_algo_v2\backtester.py | C:\Users\jichu\Downloads\주식\stock_rtx4060_recommendation_patch\backtester.py | C:\Users\jichu\Downloads\주식\stock_rtx4060_recommendation_patch\mnt\user-data\outputs\stock_rtx4060\backtester.py | C:\Users\jichu\Downloads\주식\workspaces\stock_rtx4060_patched\backtester.py | C:\Users\jichu\Downloads\주식\workspaces\stock_rtx4060_patched\stock_rtx4060\backtester.py,Validated active package was preferred over raw patch/bundle/legacy variants.
9,ensemble_model.py,Same name different folder/content,C:\Users\jichu\Downloads\주식\workspaces\stock_rtx4060\ensemble_model.py,C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2\ensemble_model.py | C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2_bundle\stock_rtx4060_algo_v2\ensemble_model.py | C:\Users\jichu\Downloads\주식\stock_rtx4060_recommendation_patch\ensemble_model.py | C:\Users\jichu\Downloads\주식\stock_rtx4060_recommendation_patch\mnt\user-data\outputs\stock_rtx4060\ensemble_model.py | C:\Users\jichu\Downloads\주식\workspaces\stock_rtx4060_patched\ensemble_model.py | C:\Users\jichu\Downloads\주식\workspaces\stock_rtx4060_patched\stock_rtx4060\ensemble_model.py,Validated active package was preferred over raw patch/bundle/legacy variants.
10,feature_engine.py,Same name different folder/content,C:\Users\jichu\Downloads\주식\workspaces\stock_rtx4060\feature_engine.py,C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2\feature_engine.py | C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2_bundle\stock_rtx4060_algo_v2\feature_engine.py | C:\Users\jichu\Downloads\주식\stock_rtx4060_recommendation_patch\feature_engine.py | C:\Users\jichu\Downloads\주식\stock_rtx4060_recommendation_patch\mnt\user-data\outputs\stock_rtx4060\feature_engine.py | C:\Users\jichu\Downloads\주식\workspaces\stock_rtx4060_patched\feature_engine.py | C:\Users\jichu\Downloads\주식\workspaces\stock_rtx4060_patched\stock_rtx4060\feature_engine.py,Validated active package was preferred over raw patch/bundle/legacy variants.
11,hw_profile.py,Same name different folder/content,C:\Users\jichu\Downloads\주식\workspaces\stock_rtx4060\hw_profile.py,C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2\hw_profile.py | C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2_bundle\stock_rtx4060_algo_v2\hw_profile.py | C:\Users\jichu\Downloads\주식\stock_rtx4060_recommendation_patch\hw_profile.py | C:\Users\jichu\Downloads\주식\workspaces\stock_rtx4060_patched\hw_profile.py | C:\Users\jichu\Downloads\주식\workspaces\stock_rtx4060_patched\stock_rtx4060\hw_profile.py,Validated active package was preferred over raw patch/bundle/legacy variants.
12,main.py,Same name different folder/content,C:\Users\jichu\Downloads\주식\workspaces\stock_rtx4060\main.py,C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2\main.py | C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2_bundle\stock_rtx4060_algo_v2\main.py | C:\Users\jichu\Downloads\주식\stock_rtx4060_recommendation_patch\main.py | C:\Users\jichu\Downloads\주식\stock_rtx4060_recommendation_patch\mnt\user-data\outputs\stock_rtx4060\main.py | C:\Users\jichu\Downloads\주식\workspaces\stock_rtx4060_patched\main.py | C:\Users\jichu\Downloads\주식\workspaces\stock_rtx4060_patched\stock_rtx4060\main.py,Validated active package was preferred over raw patch/bundle/legacy variants.
13,pyproject.toml,Same name different folder/content,Generated normalized target,C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2\pyproject.toml | C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2_bundle\stock_rtx4060_algo_v2\pyproject.toml | C:\Users\jichu\Downloads\주식\workspaces\stock_rtx4060_patched\pyproject.toml,Validated active package was preferred over raw patch/bundle/legacy variants.
14,recommendation_engine.py,Same name different folder/content,C:\Users\jichu\Downloads\주식\workspaces\stock_rtx4060\recommendation_engine.py,C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2\recommendation_engine.py | C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2_bundle\stock_rtx4060_algo_v2\recommendation_engine.py | C:\Users\jichu\Downloads\주식\stock_rtx4060_recommendation_patch\recommendation_engine.py,Validated active package was preferred over raw patch/bundle/legacy variants.
15,requirements.txt,Same name different folder/content,Generated normalized target,C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2\requirements.txt | C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2_bundle\stock_rtx4060_algo_v2\requirements.txt | C:\Users\jichu\Downloads\주식\workspaces\stock_rtx4060_patched\requirements.txt,Validated active package was preferred over raw patch/bundle/legacy variants.
